gamerTag,numCombosStarted,totalComboDamage,averageComboDamage,maxComboDamage,percentTimeClosestCenter,percentTimeInShield,rollCount,numRecoveries,totalRecoveryDamage,averageRecoveryDamage,maxRecoveryDamage,numSuccessfulRecoveries,recoverySuccessPercent,numEdgeguards,numFailedEdgeguards,edgeguardSuccessPercent,numPunishesStarted,numKillingPunishes,totalPunishDamage,averagePunishDamage,neutralWinPercent,openingsPerKill,won
ChuDat,91,1828.02,20.088131868132,127.66,54.336414294737,8.384315111754,26,24,326.28,13.595,54.41,18,75.0,22,15,31.818181818182,65,13,1840.02,28.308,48.872180451128,5.0,1.0
Axe,76,1139.1,14.988157894737,88.13,50.443448654069,4.6306486791389,10,12,96.99,8.0825,46.43,10,83.333333333333,18,12,33.333333333333,52,11,1154.6,22.203846153846,48.148148148148,4.7272727272727,1.0
Mang0,85,1319.45,15.522941176471,44.64,49.556551345931,4.0364532606311,11,18,215.76,11.986666666667,73.62,12,66.666666666667,12,10,16.666666666667,56,9,1326.3,23.683928571429,51.851851851852,6.2222222222222,0.0
Armada,113,1617.57,14.314778761062,51.07,59.645512800723,1.1075337934684,24,8,78.05,9.75625,68.05,7,87.5,24,12,50.0,55,12,1634.57,29.719454545455,56.701030927835,4.5833333333333,1.0
ChuDat,49,766.78,15.648571428571,113.8,40.354487199277,10.147733136343,17,24,608.08,25.336666666667,86.3,12,50.0,8,7,12.5,42,4,767.78,18.280476190476,43.298969072165,10.5,0.0
Plup,100,1591.53,15.9153,99.22,44.12857002388,5.1893383902233,22,20,370.96,18.548,63.69,15,75.0,23,14,39.130434782609,78,13,1595.53,20.455512820513,54.545454545455,6.0,0.0
Leffen,100,1679.64,16.7964,56.55,55.87142997612,4.952819216182,15,23,239.97,10.43347826087,37.23,14,60.869565217391,20,15,25.0,65,15,1708.15,26.279230769231,45.454545454545,4.3333333333333,1.0
Hungrybox,129,1725.8,13.378294573643,63.1,45.650589001272,2.6965021803646,16,34,316.55,9.3102941176471,56.15,32,94.117647058824,34,23,32.352941176471,89,15,1728.8,19.424719101124,47.593582887701,5.9333333333333,1.0
PewPewU,138,1647.11,11.935579710145,41.83,54.349410998728,3.0613969474896,13,34,378.11,11.120882352941,40.92,23,67.647058823529,34,32,5.8823529411765,98,10,1642.39,16.759081632653,52.406417112299,9.8,0.0
Axe,164,1890.71,11.528719512195,38.65,44.121588293536,3.0010168576168,17,34,316.79,9.3173529411765,71.65,29,85.294117647059,36,21,41.666666666667,110,15,1893.71,17.215545454545,47.008547008547,7.3333333333333,0.0
Mew2King,156,2567.61,16.459038461538,72.96,55.738957296609,4.3474070645116,101,36,390.67,10.851944444444,52.66,21,58.333333333333,34,29,14.705882352941,124,17,2570.61,20.730725806452,52.991452991453,7.2941176470588,1.0
Mang0,76,930.67,12.245657894737,41.16,56.323090060718,6.3723147788114,13,14,164.8,11.771428571429,38.0,9,64.285714285714,16,11,31.25,58,8,951.35,16.402586206897,56.862745098039,7.25,0.0
HugS,58,802.5,13.836206896552,39.0,43.676909939282,11.331584960967,6,16,145.18,9.07375,40.05,11,68.75,14,9,35.714285714286,44,5,803.5,18.261363636364,43.137254901961,8.8,0.0
S2J,130,2120.15,16.308846153846,72.79,45.09650143124,3.1274990144152,42,17,63.09,3.7111764705882,18.66,14,82.352941176471,30,20,33.333333333333,97,17,2130.15,21.960309278351,57.396449704142,5.7058823529412,1.0
Infinite Numbers,81,1884.49,23.265308641975,180.59,54.90349856876,9.5134195505734,31,30,361.84,12.061333333333,54.04,20,66.666666666667,17,14,17.647058823529,72,12,1885.49,26.187361111111,42.603550295858,6.0,0.0
SFAT,73,1303.15,17.851369863014,94.92,52.156492202857,5.6166898178482,11,11,124.11,11.282727272727,59.87,5,45.454545454545,21,13,38.095238095238,58,11,1304.15,22.485344827586,51.785714285714,5.2727272727273,1.0
Westballz,65,1238.83,19.058923076923,56.32,47.843507797143,4.9851144017822,32,21,158.76,7.56,46.88,13,61.904761904762,11,5,54.545454545455,54,9,1240.83,22.978333333333,48.214285714286,6.0,0.0
S2J,69,910.48,13.195362318841,45.72,43.773617674919,7.8030915747165,37,20,327.52,16.376,100.81,9,45.0,14,11,21.428571428571,59,5,910.48,15.43186440678,43.703703703704,11.8,0.0
Plup,107,1691.89,15.812056074766,81.36,56.226382325081,5.5008952663782,8,14,114.74,8.1957142857143,33.4,11,78.571428571429,20,9,55.0,76,12,1691.89,22.261710526316,56.296296296296,6.3333333333333,1.0
SFAT,81,1113.87,13.751481481481,53.01,54.493730151273,3.5165410755113,12,21,245.2,11.67619047619,58.23,16,76.190476190476,20,14,30.0,56,10,1122.42,20.043214285714,52.830188679245,5.6,1.0
PewPewU,70,1151.81,16.454428571429,70.97,45.506269848727,2.3370797707413,6,20,187.6,9.38,40.43,14,70.0,21,16,23.809523809524,50,8,1154.81,23.0962,47.169811320755,6.25,0.0
Axe,117,1686.43,14.413931623932,61.43,48.680908386146,3.6817813051145998,7,25,132.93,5.3172,43.21,20,80.0,32,21,34.375,82,14,1684.09,20.537682926829,46.590909090909,5.8571428571429,1.0
Ice,114,1686.11,14.790438596491,59.16,51.319091613854,2.815910808768,25,32,326.47,10.2021875,34.85,21,65.625,25,20,20.0,94,13,1719.02,18.287446808511,53.409090909091,7.2307692307692,0.0
Armada,69,1128.4,16.353623188406,77.55,56.063046096494,2.8469510359166,8,9,168.01,18.667777777778,39.7,6,66.666666666667,21,12,42.857142857143,48,12,1137.65,23.701041666667,54.545454545455,4.0,1.0
Leffen,60,842.95,14.049166666667,55.43,43.936953903506,4.0342182235286,8,21,149.11,7.1004761904762,28.03,12,57.142857142857,9,6,33.333333333333,40,6,845.95,21.14875,45.454545454545,6.6666666666667,0.0
Mew2King,68,951.69,13.995441176471,29.84,58.807599948223,2.4673575206184,22,18,191.92,10.662222222222,42.68,9,50.0,12,9,25.0,61,10,993.17,16.281475409836,48.8,6.1,0.0
Hungrybox,90,1438.92,15.988,59.68,41.192400051777,3.7427769148267,24,12,183.8,15.316666666667,98.3,9,75.0,18,9,50.0,64,12,1440.92,22.514375,51.2,5.3333333333333,1.0
ChuDat,108,1842.61,17.061203703704,135.4,54.424664107244,13.6212538234,45,31,654.37,21.108709677419,72.7,22,70.967741935484,17,16,5.8823529411765,87,10,1836.41,21.10816091954,43.939393939394,8.7,0.0
Plup,161,2216.39,13.766397515528,42.26,45.572611618101,1.6513113474731,3,17,179.28,10.545882352941,97.36,16,94.117647058824,31,22,29.032258064516,111,15,2223.39,20.030540540541,56.060606060606,7.4,1.0
SFAT,115,1757.78,15.285043478261,49.92,50.802804129736,3.5037002045388,11,33,267.77,8.1142424242424,38.32,23,69.69696969697,29,25,13.793103448276,90,12,1775.22,19.724666666667,47.619047619048,7.5,0.0
Axe,133,1857.05,13.962781954887,75.32,49.197195870264,2.6303208337392,9,29,185.21,6.3865517241379,51.65,25,86.206896551724,33,23,30.30303030303,99,16,1871.05,18.899494949495,52.380952380952,6.1875,1.0
Mew2King,109,1953.08,17.918165137615,61.03,48.537883336205,3.2867272100638,12,29,536.43,18.497586206897,74.72,20,68.965517241379,35,24,31.428571428571,72,15,1956.08,27.167777777778,49.655172413793,4.8,1.0
Plup,119,2247.97,18.890504201681,69.4,51.462116663795,5.210041530243,21,35,524.77,14.993428571429,48.98,24,68.571428571429,29,20,31.034482758621,73,14,2252.97,30.862602739726,50.344827586207,5.2142857142857,0.0
Leffen,74,1245.58,16.832162162162,46.84,58.607521762192,4.2992146890893,12,17,63.12,3.7129411764706,19.48,13,76.470588235294,19,17,10.526315789474,53,11,1251.58,23.614716981132,48.623853211009,4.8181818181818,1.0
Axe,69,1032.89,14.969420289855,59.63,41.392478237808,2.7870946304327,8,19,158.21,8.3268421052632,41.37,17,89.473684210526,17,13,23.529411764706,56,8,1039.89,18.569464285714,51.376146788991,7.0,0.0
