problem_words
sheet
sweet
wigger
twat
taint
prick
kike
gook
fisting
fist
finger
chink
69
suck
coon
shut
skit
spit
sit
bigger
wizz
rizz
jazz
dizz
duck
wuck
cuck
luck
wag
dag
hag
fat
fac
fa
bag
fig
nag
fay
fai
fg
mag
tag
flag
fab
fap
fug
fav
lag
fax
fan
fam
pag
cait
clip
clint
lit
sock
chock
coco
tock
cocky
gock
cook
rock
mock
lock
clock
cocc
mum
cus
gum
yum
sum
hum
cu
bum
cun
pum
dum
scum
um
cam
cup
tum
com
cuz
cent
count
hunt
cut
cult
wick
dink
lick
rick
kick
nick
pick
deck
sick
shot
shia
ship
hit
shirt
suit
shin
izz
zuck
muck
puck
huck
tuck
iuck
gag
faw
fal
fgg
fah
duke
dice
jum
ctm
dick
